Model,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length,Topsis Score,Rank
facebook/blenderbot-400M-distill,0.4467037760907026,0.2237236326891499,0.0908221408221408,0.2103902993558165,15.6,0.4572054042271568,4.0
facebook/blenderbot-3B,0.3681906584568925,0.2847020933977456,0.1371428571428571,0.2376811594202898,12.4,0.6763791733017094,1.0
Pi3141/DialoGPT-medium-elon-2,0.2737024035437325,0.2577504848093083,0.1067950558213716,0.2259857789269554,22.8,0.16638958034823106,5.0
ToddGoldfarb/Cadet-Tiny,0.3184616617654606,0.2925660699062233,0.1667330089930709,0.2708013640238704,22.0,0.5195404698330286,3.0
satvikag/chatbot,0.3334177566813552,0.3182828282828282,0.1234224598930481,0.2682828282828283,15.2,0.575004045034773,2.0
